,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Turnover,Turnover,Turnover,Turnover,Turnover,Turnover,Turnover,Turnover,%Deliverable,%Deliverable,%Deliverable,%Deliverable,%Deliverable,%Deliverable,%Deliverable,%Deliverable,Volatility,Volatility,Volatility,Volatility,Volatility,Volatility,Volatility,Volatility
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
ICICIBANK,2456.0,14644313.801710097,15005200.94555123,81459.0,4057970.5,11245618.0,19326575.75,286857658.0,2456.0,608415069218241.0,567389836381906.0,9510000000000.0,302750000000000.0,434000000000000.0,712250000000000.0,1.46e+16,2456.0,0.4953695439739414,0.11005192920132062,0.1565,0.4228,0.5,0.573025,0.8106,2454.0,0.021871939376583265,0.016411263633939875,0.006177967893068475,0.015377778196676318,0.01920173205645736,0.02389020163351015,0.17572396326207057
INDUSINDBK,1.0,330414.0,,330414.0,330414.0,330414.0,330414.0,330414.0,1.0,8748091860000.0,,8748091860000.0,8748091860000.0,8748091860000.0,8748091860000.0,8748091860000.0,1.0,0.5816,,0.5816,0.5816,0.5816,0.5816,0.5816,0.0,,,,,,,
INFY,2456.0,4469194.030537459,5585518.966228278,21694.0,1217340.75,2805485.5,5947960.75,90433393.0,2456.0,512686278501628.7,502726064323846.25,6100000000000.0,264000000000000.0,382000000000000.0,578250000000000.0,8320000000000000.0,2456.0,0.6124981677524429,0.11604798954964807,0.1546,0.54015,0.624,0.696725,0.887,2454.0,0.01894032390504964,0.016547886016684228,0.005455018957000134,0.012041761325354571,0.014479023245275325,0.018883629687263905,0.11323194106370404
IOC,1.0,448914.0,,448914.0,448914.0,448914.0,448914.0,448914.0,1.0,14752534635000.0,,14752534635000.0,14752534635000.0,14752534635000.0,14752534635000.0,14752534635000.0,1.0,0.3963,,0.3963,0.3963,0.3963,0.3963,0.3963,0.0,,,,,,,
ITC,2456.0,11850275.462947883,11957811.410529304,100455.0,5722954.5,8253077.0,12935974.5,149479681.0,2456.0,301932020936482.06,260972999133433.16,2482300000000.0,162295250000000.0,233784000000000.0,345681750000000.0,4254990000000000.0,2456.0,0.6311187296416938,0.11750826253123899,0.1954,0.574675,0.65145,0.7128,0.9023,2454.0,0.015690576195043875,0.007858234788244713,0.006120258060340262,0.011622559955912326,0.01419824035690863,0.01705691148471962,0.07044514914940736
JSWSTEEL,2456.0,3707112.1368078175,4654402.791131563,29999.0,707284.0,1872222.0,5398838.25,72006147.0,2456.0,141895854833061.88,193968968591562.53,2637230000000.0,67035900000000.0,100465500000000.0,167034000000000.0,4362300000000000.0,2456.0,0.23931148208469055,0.11121832721285896,0.0318,0.154375,0.22165,0.30679999999999996,0.8567,2454.0,0.02404549238523615,0.018268761466555233,0.00026842193063657895,0.017507111724606145,0.0207573603673571,0.02490797077965413,0.2007361054727378
KOTAKBANK,2456.0,2041854.6608306188,3279273.16486663,12298.0,733150.75,1282338.5,2406412.25,83859904.0,2456.0,244266474348534.2,485594497613507.8,708000000000.0,52100000000000.0,113000000000000.0,297250000000000.0,1.5e+16,2456.0,0.5393077361563517,0.1370625439363753,0.1146,0.442175,0.5355,0.63985,0.9577,2454.0,0.017521976815673485,0.011332498900438179,0.006436019696848132,0.01210181487621326,0.015338970263781924,0.01982791910975871,0.11238326707337308
LT,2456.0,2458966.8008957654,1848262.145770292,55697.0,1364491.75,1924728.5,2873040.0,21153346.0,2456.0,317275000606677.5,212447213566240.03,8708590000000.0,193164250000000.0,261428000000000.0,372619750000000.0,2706060000000000.0,2456.0,0.48300561889250815,0.10800064366267287,0.1625,0.408075,0.4876,0.559525,0.8197,2454.0,0.0185484509276442,0.009618687050475123,0.006343704455603893,0.013106879686128003,0.01633560404406195,0.021268008907350346,0.07353535845059614
M&M,1.0,1531251.0,,1531251.0,1531251.0,1531251.0,1531251.0,1531251.0,1.0,103850064400000.0,,103850064400000.0,103850064400000.0,103850064400000.0,103850064400000.0,103850064400000.0,1.0,0.3445,,0.3445,0.3445,0.3445,0.3445,0.3445,0.0,,,,,,,
MARUTI,2456.0,735987.3526058632,601903.0508502993,25479.0,377770.75,589582.0,912069.75,10567769.0,2456.0,350334846144136.8,348844523809942.06,3365100000000.0,89508850000000.0,249559000000000.0,509662500000000.0,4878990000000000.0,2456.0,0.4088557410423453,0.1375767933810301,0.0711,0.3066,0.4099,0.5074,0.8229,2454.0,0.017155624497567308,0.007687123738402103,0.006517693209932335,0.012677061159461022,0.015689957127390554,0.020055858132114763,0.0780112697188272
