Date,Symbol,Actual,ARIMA_Forecast,SARIMA_Forecast
2021-02-02,ADANIPORTS,0.0266390540291619,0.022452146022574327,0.016838406157079232
2021-02-03,ADANIPORTS,0.0265542606331979,0.022458298884784306,0.01679535958429542
2021-02-04,ADANIPORTS,0.0266001741182553,0.022464266786982937,0.016725521914825923
2021-02-05,ADANIPORTS,0.026545737375394,0.022470055289217663,0.016678274557313896
2021-02-08,ADANIPORTS,0.0261956900376653,0.02247566978439641,0.0166000038249927
2021-02-09,ADANIPORTS,0.0262334793488208,0.022481115503311923,0.01654836764609296
2021-02-10,ADANIPORTS,0.0259447260999167,0.0224863975195151,0.016486402289542915
2021-02-11,ADANIPORTS,0.0262951452794453,0.02249152075404179,0.01644501739010509
2021-02-12,ADANIPORTS,0.0257111793273024,0.022496489979997532,0.016397344700939686
2021-02-15,ADANIPORTS,0.0257778617332541,0.022501309827004455,0.01630094039589555
